index,language,source,question,option_A,option_B,option_C,option_D,option_E,correct_option,question_EN,option_A_EN,option_B_EN,option_C_EN,option_D_EN,option_E_EN,,,,,,,,,,,,,,
148,ES-ES,national_official_exam_official_source,Una de las siguientes enfermedades se produce por hipermetilación de una expansión de tripletes CGG en la región promotora:,Enfermedad de Hungtinton.,Ataxia de Friedreich.,Síndrome del cromosoma X frágil.,Distrofia miotónica tipo 1.,None,3,One of the following diseases is caused by hypermethylation of a CGG triplet expansion in the promoter region:,Huntington's disease.,Friedreich's ataxia.,Fragile X syndrome.,Myotonic dystrophy type 1.,None,,,,,,,,,,,,,,
149,ES-ES,national_official_exam_official_source,"Un rasgo que aparece en todas las generaciones, tanto en varones como en mujeres, pero los varones no lo transmiten a sus hijos varones, se corresponde con uno de los siguientes patrones de herencia:",Autosómica dominante.,Ligada al sexo dominante.,Ligada al sexo recesiva.,Mitocondrial.,None,2,"A trait that appears in all generations, in both males and females, but is not passed on to their sons, corresponds to one of the following inheritance patterns:",Autosomal dominant.,Sex-linked dominant to the dominant sex.,Sex-linked recessive.,Mitochondrial.,None,,,,,,,,,,,,,,
150,ES-ES,national_official_exam_official_source,Las células tumorales desarrollan diferentes mecanismos dirigidos a evitar la activación de la respuesta inmunitaria antitumoral. Entre las inmunoterapias antitumorales dirigidas a contrarrestar estos mecanismos de evasión destaca:,La inoculación intratumoral de células T reguladoras específicas frente a antígenos tumorales.,"La inoculación de células de la inmunidad innata con capacidad antitumoral como las células reguladoras de origen mieloide (myeloid-derived suppressor cells, MDSC).",El uso de citocinas como el TGF-beta o la IL-10 que frenan el crecimiento tumoral.,El uso de anticuerpos monoclonales inmunomoduladores frente a PD-1 o los ligandos de PD-1.,None,4,"Tumor cells develop various mechanisms aimed at avoiding the activation of the antitumor immune response. Among the antitumor immunotherapies aimed at counteracting these evasion mechanisms, the following stand out:",Intratumoral inoculation of tumor antigen-specific regulatory T cells.,"Inoculation of innate immune cells with antitumor potential, such as myeloid-derived suppressor cells (MDSCs).",The use of cytokines such as TGF-beta or IL-10 that slow tumor growth.,The use of immunomodulatory monoclonal antibodies against PD-1 or PD-1 ligands.,None,,,,,,,,,,,,,,
151,ES-ES,national_official_exam_official_source,"En relación con el mecanismo inmunológico implicado el rechazo de órganos sólidos trasplantados, señale la respuesta INCORRECTA:",El rechazo agudo mediado por linfocitos T puede ser controlado mediante el uso de fármacos como la ciclosporina A o los corticoides.,La presencia en el receptor de anticuerpos específicos contra el donante (DSA) previa al trasplante es una contraindicación para el mismo.,El rechazo crónico o lesión crónica del injerto se asocia al daño del endotelio mediado por anticuerpos anti-HLA.,El rechazo hiperagudo es mediado por linfocitos T citotóxicos contra antígenos del donante presentes en el receptor.,None,4,"Regarding the immunological mechanism involved in the rejection of transplanted solid organs, indicate the INCORRECT answer:",Acute T-cell-mediated rejection can be controlled with drugs such as cyclosporine A or corticosteroids.,The presence of donor-specific antibodies (DSA) in the recipient prior to transplantation is a contraindication.,Chronic graft rejection or chronic graft injury is associated with endothelial damage mediated by anti-HLA antibodies.,Hyperacute rejection is mediated by cytotoxic T lymphocytes against donor antigens present in the recipient.,None,,,,,,,,,,,,,,
152,ES-ES,national_official_exam_official_source,La vacunación utilizando ARN mensajero de la proteína S (Spike) del SARS-CoV-2 va dirigida a la protección de la población frente a la COVID-19. En relación con la respuesta a esta vacuna señale la afirmación INCORRECTA:,"La respuesta no requiere la colaboración de los linfocitos T, al ser un antígeno timo- independiente.","Un elevado porcentaje de pacientes inmunodeprimidos, como aquellos con trasplante de órganos o con inmunodeficiencia, tienen un defecto en la respuesta a esta vacuna.",Es una forma de inmunización activa cuyo resultado se asocia al cambio de isotipo de los anticuerpos.,Induce memoria inmunológica basada en la activación de linfocitos B.,None,1,"Vaccination using SARS-CoV-2 S (Spike) protein messenger RNA is intended to protect the population against COVID-19. Regarding the response to this vaccine, indicate the following:","The response does not require the collaboration of T lymphocytes, as it is a thymus-independent antigen.","A high percentage of immunosuppressed patients, such as those with organ transplants or immunodeficiency, have a defective response to this vaccine.",It is a form of active immunization whose result is associated with the change in antibody isotype.,Induces immunological memory based on the activation of B lymphocytes.,None,,,,,,,,,,,,,,
153,ES-ES,national_official_exam_official_source,"En relación con las enfermedades asociadas al mecanismo de hipersensibilidad tipo II, señale la respuesta INCORRECTA:",La presencia de anticuerpos frente al receptor de las hormonas tiroideas T3 y T4 se asocia a la enfermedad de Graves.,La presencia de autoanticuerpos anti- desmogleína se asocia al pénfigo vulgar.,La miastenia gravis se asocia a la presencia de anticuerpos frente al receptor de la acetilcolina.,El síndrome de Goodpasture se asocia a la presencia de anticuerpos frente a la membrana basal glomerular renal y pulmonar.,None,1,"Regarding diseases associated with the type II hypersensitivity mechanism, indicate the INCORRECT answer:",The presence of antibodies against the thyroid hormone receptors T3 and T4 is associated with Graves' disease.,The presence of anti-desmoglein autoantibodies is associated with pemphigus vulgaris.,Myasthenia gravis is associated with the presence of antibodies against the acetylcholine receptor.,Goodpasture syndrome is associated with the presence of antibodies against the glomerular basement membrane of the kidneys and lungs.,None,,,,,,,,,,,,,,
154,ES-ES,national_official_exam_official_source,En el asma bronquial son numerosas las células que participan en la inflamación de la vía aérea. En relación con las diferentes poblaciones linfocitarias y las citocinas que liberan ¿cuál de las siguientes afirmaciones es correcta?:,Los linfocitos B son los responsables de la coordinación de la respuesta inflamatoria.,En el asma bronquial hay un predominio de fenotipo linfocitario TH1.,Las citocinas IL4 e IL13 son las favorecedoras de la síntesis de IgE.,La población de linfocitos T reguladores (CD4+ y CD25+) está aumentada.,None,3,"In bronchial asthma, numerous cells participate in airway inflammation. Regarding the different lymphocyte populations and the cytokines they release, which of the following statements is correct?",B lymphocytes are responsible for coordinating the inflammatory response.,"In bronchial asthma, the TH1 lymphocyte phenotype predominates.",The cytokines IL4 and IL13 promote IgE synthesis.,The population of regulatory T lymphocytes (CD4+ and CD25+) is increased.,None,,,,,,,,,,,,,,
155,ES-ES,national_official_exam_official_source,"En un paciente de 16 años de edad que presenta desde hace varios meses, importante sequedad de la piel lesiones eccematosas en zonas de flexión, fundamentalmente en las fosas cubital y poplítea, de carácter muy pruriginoso que inducen al rascado, y que cursa con exacerbaciones y remisiones, el diagnóstico clínico más probable es:",Dermatitis alérgica de contacto.,Dermatitis atópica.,Dermatitis seborreica.,Dermatitis dishidrótica.,None,2,"In a 16-year-old patient who has presented for several months with severe dryness and eczematous lesions in flexor areas, primarily the cubital and popliteal fossae, with a very pruritic character that induces scratching and that progresses with exacerbations and remissions, the most likely clinical diagnosis is:",Allergic contact dermatitis.,Atopic dermatitis.,Seborrheic dermatitis.,Dyshidrotic dermatitis.,None,,,,,,,,,,,,,,
156,ES-ES,national_official_exam_official_source,"Mujer de 63 años en tratamiento con sulfamidas (trimetoprim-sulfametoxazol) vía oral por una infección de vías urinarias bajas. Acude a urgencias por presentar lesiones cutáneas y en mucosas (oral, conjuntival y genital). Las lesiones cutáneas tienen forma de máculas irregulares oscuras, con desprendimiento cutáneo y afectan a más del 30 % de la superficie corporal. Se interpreta como una posible reacción farmacológica grave. ¿Cuál de los siguientes diagnósticos es más probable?:",Eritema multiforme.,Síndrome de Stevens-Johnson.,Necrólisis epidérmica tóxica.,Síndrome de hipersensibilidad inducido por fármacos.,None,3,"A 63-year-old woman is being treated with oral sulfonamides (trimethoprim-sulfamethoxazole) for a lower urinary tract infection. She comes to the emergency department with skin and mucosal lesions (oral, conjunctival, and genital). The skin lesions are dark, irregular macules with sloughing and affect more than 30% of the body surface area. This is interpreted as a possible severe drug reaction. Which of the following diagnoses is most likely?",Erythema multiforme.,Stevens-Johnson syndrome.,Toxic epidermal necrolysis.,Drug-induced hypersensitivity syndrome.,None,,,,,,,,,,,,,,
157,ES-ES,national_official_exam_official_source,Un paciente acude a consulta recientemente diagnosticado de esofagitis eosinofílica y tras exponerle las opciones de tratamiento prefiere hacer tratamiento dietético con dieta de exclusión de dos alimentos. ¿Cuáles son los alimentos que tendría que retirar de la dieta?:,Huevo y trigo.,Leche de vaca y pescado.,Legumbres y leche de vaca.,Leche de vaca y trigo.,None,4,"A patient recently diagnosed with eosinophilic esophagitis comes to the clinic. After being explained the treatment options, he prefers to follow a two-food exclusion diet. Which foods should be eliminated from the diet?",Egg and wheat.,Cow's milk and fish.,Legumes and cow's milk.,Cow's milk and wheat.,None,,,,,,,,,,,,,,
158,ES-ES,national_official_exam_official_source,"En relación con las condiciones necesarias para la implementación de un programa de cribado poblacional de cáncer, señale la respuesta INCORRECTA:","Debe existir una prueba adecuada para la detección, independientemente de la aceptabilidad de la prueba en la población.",La enfermedad que se detecta mediante el cribado debe ser relevante desde el punto de vista de salud pública.,La enfermedad que se detecta mediante el cribado debe ser tratable en la etapa presintomática y el daño potencial de la intervención debe ser inferior al del tratamiento en la etapa sintomática.,Se debe disponer de recursos suficientes para la implementación de la estrategia a medio / largo plazo.,None,1,"Regarding the conditions necessary for implementing a population-based cancer screening program, select the INCORRECT answer:","There must be an adequate screening test, regardless of the acceptability of the test in the population.",The disease detected through screening must be relevant from a public health perspective.,"The disease detected through screening must be treatable in the presymptomatic stage, and the potential harm of the intervention must be less than that of treatment in the symptomatic stage.",Sufficient resources must be available for the implementation of the medium/long-term strategy.,None,,,,,,,,,,,,,,
159,ES-ES,national_official_exam_official_source,¿Qué tipo de estudio epidemiológico NO PERMITE calcular un riesgo relativo?:,Un ensayo clínico aleatorizado.,Un estudio de cohortes retrospectivo.,Un estudio de cohortes prospectivo.,Un estudio de casos y controles.,None,4,What type of epidemiological study DOES NOT ALLOW the calculation of a relative risk?,A randomized clinical trial.,A retrospective cohort study.,A prospective cohort study.,A case-control study.,None,,,,,,,,,,,,,,
160,ES-ES,national_official_exam_official_source,Al aumentar el tamaño muestral de un estudio transversal (o de prevalencia) aumenta:,La representatividad de la muestra.,La validez del estudio.,La reproducibilidad del estudio.,La precisión del estudio.,None,4,Increasing the sample size of a cross-sectional (or prevalence) study increases:,The representativeness of the sample.,The validity of the study.,The reproducibility of the study.,The precision of the study.,None,,,,,,,,,,,,,,
161,KR-KR,KorMedMCQA,"22세 여자가 2개월 전부터 소변에 거품이 많아지고 다리가 부어 병원에 왔다. 2세에 요로감염으로 입원 치료를 받았고, 이후 반복적으로 요로감염이 발생하였다. 혈압 160/110 mmHg, 맥박 84회/분, 호흡 15회/분, 체온 36.9℃이다. 눈 주위에 부종이 있고, 양쪽 정강뼈앞 오목부종이 있다. 검사 결과는 다음과 같다. 진단은?혈액: 혈색소 11.3 g/dL, 백혈구 8,300/mm^3 혈소판 368,000/mm^3 혈액요소질소/크레아티닌 22/1.4 mg/dL, Na +/K+/Cl- 140/4.6/108 meq/L 총단백질/알부민 7.2/3.9 g/dL, 총콜레스테롤 268 mg/dL, C3 109 mg/dL (참고치, 83～177) C4 32 mg/dL (참고치, 16～47) 소변: 비중 1.020, 단백질 (3+), 잠혈 (1+) 적혈구 2～4/고배율시야, 24시간 단백질 2.7 g",미세변화병,막토리콩팥염,막증식토리콩팥염,국소조각토리굳음증,면역글로불린A 콩팥병,4,"A 22-year-old woman came to the hospital because she had noticed increased foaming in her urine and swelling in her legs for the past 2 months. She was hospitalized for a urinary tract infection at the age of 2 and has had recurrent urinary tract infections since then. Her blood pressure is 160/110 mmHg, pulse is 84 beats per minute, respiration is 15 breaths per minute, and temperature is 36.9°C. She has periorbital edema and pitting edema on both shins. The test results are as follows. What is the diagnosis? Blood: Hemoglobin 11.3 g/dL, White blood cells 8,300/mm^3, Platelets 368,000/mm^3, Blood urea nitrogen/Creatinine 22/1.4 mg/dL, Na+/K+/Cl- 140/4.6/108 meq/L, Total protein/Albumin 7.2/3.9 g/dL, Total cholesterol 268 mg/dL, C3 109 mg/dL (reference range, 83-177), C4 32 mg/dL (reference range, 16-47). Urine: Specific gravity 1.020, Protein (3+), Occult blood (1+), Red blood cells 2-4/high power field, 24-hour protein 2.7 g.",Minimal change disease,Membranous nephropathy,Membranoproliferative glomerulonephritis,Focal segmental glomerulosclerosis,IgA nephropathy,,,,,,,,,,,,,,
162,KR-KR,KorMedMCQA,"52세 여자가 1개월 전부터 소량의 불규칙적인 질출혈이 있어서 병원에 왔다. 3년 전 유방암으로 수술과 항암화학치료를 받았고 이후 타목시펜을 복용하고 있다. 골반검사에서 자궁경부에 미란은 없고, 자궁경부질세포진검사 결과는 반응성세포변화이다. 골반초음파검사에서 자궁내막두께는 7 mm이다. 자궁내막조직검사 결과는 정상이다. 조치는?",타목시펜 지속,에스트로겐,프로게스테론,복합경구피임제,자궁절제술,1,"A 52-year-old woman came to the hospital due to a small amount of irregular vaginal bleeding that started 1 month ago. She underwent surgery and chemotherapy for breast cancer 3 years ago and has been taking tamoxifen since then. A pelvic examination showed no erosion on the cervix, and the cervical cytology test result showed reactive cellular changes. A pelvic ultrasound revealed an endometrial thickness of 7 mm. The endometrial biopsy result was normal. What is the management?",Continue tamoxifen,Estrogen,Progesterone,Combined oral contraceptives,Hysterectomy,,,,,,,,,,,,,,
163,KR-KR,KorMedMCQA,"30세 남자가 1개월 전부터 우울하고 살고 싶지 않다며 병원에 왔다. 잠도 못 자고 밥맛이 없으며 계속 피곤하다고 한다. 1년 전에는 기분이 들뜨고, 자신에게 무한한 능력이 있다면서 말수가 많아지고, 과소비와 충동적인 모습을 보여 입원 치료를 받은 적이 있었다고 한다. 치료는?",리튬,도네페질,벤라팍신,이미프라민,아캄프로세이트,1,"A 30-year-old man came to the hospital saying he has been feeling depressed and does not want to live for the past month. He also reports being unable to sleep, having no appetite, and feeling constantly tired. A year ago, he experienced elevated mood, talked excessively about having infinite abilities, and showed impulsive behavior and overspending, for which he was hospitalized. What is the treatment?",Lithium,Donepezil,Venlafaxine,Imipramine,Acamprosate,,,,,,,,,,,,,,
164,KR-KR,KorMedMCQA,"3세 남아가 2일 동안 열이 나서 응급실에 왔다. 심하게 보채고 끙끙거렸다. 18시간 동안 소변 배출이 한 번도 없다. 혈압 90/50 mmHg, 맥박 180회/분, 호흡 40회/분, 체온 39.2℃이다. 손과 발이 차고 파르스름하게 보인다. 혈액검사 결과는 다음과 같다. 처치는?Na +/K+ 143/3.9 meq/L, 혈당 132 mg/dL, 동맥혈가스(대기호흡) : pH 7.32, PaCO2 27 mmHg PaO2 70 mmHg, HCO3- 15 meq/L 젖산(lactic acid) 52 mg/dL, (정상치, 7～14)",만니톨,5% 포도당,10% 포도당,0.9% 식염수,0.45% 식염수,4,"A 3-year-old boy came to the emergency room with a fever for 2 days. He was very irritable and groaning. He has not urinated for 18 hours. His blood pressure is 90/50 mmHg, pulse 180 beats/min, respiration 40 breaths/min, and temperature 39.2℃. His hands and feet are cold and appear bluish. The blood test results are as follows. What is the treatment? Na+/K+ 143/3.9 meq/L, blood glucose 132 mg/dL, arterial blood gas (room air): pH 7.32, PaCO2 27 mmHg, PaO2 70 mmHg, HCO3- 15 meq/L, lactic acid 52 mg/dL (normal range, 7-14)",Mannitol,5% dextrose,10% dextrose,0.9% saline,0.45% saline,,,,,,,,,,,,,,
165,KR-KR,KorMedMCQA,"30세 산과력 2-0-0-2인 여자가 아랫배에 덩이가 만져져서 병원에 왔다. 복통은 없다. 평소 월경주기는 규칙적이고 월경량은 정상이며 월경통은 없다. 골반초음파검사에서 15 cm 크기의 다방성(multilocular) 혼합에코 덩이가 보인다. 혈액검사 결과는 다음과 같다. 처치는?암항원(CA) 125 256.8 U/mL (참고치, <35) 암항원(CA) 19-9 118.0 U/mL (참고치, <37) 암배아항원(CEA) 3.0 ng/mL (참고치, <5) 알파태아단백질5.0 ng/mL (참고치, <8.5)",경과관찰,복합경구피임제,자궁내막생검,낭종흡인술,탐색개복술,5,"A 30-year-old woman with a gravidity of 2-0-0-2 presents to the hospital with a palpable mass in her lower abdomen. She does not have abdominal pain. Her menstrual cycle is regular, menstrual flow is normal, and she does not experience dysmenorrhea. A pelvic ultrasound reveals a 15 cm multilocular mixed-echo mass. The blood test results are as follows. What is the management? Cancer antigen (CA) 125: 256.8 U/mL (reference value, <35) Cancer antigen (CA) 19-9: 118.0 U/mL (reference value, <37) Carcinoembryonic antigen (CEA): 3.0 ng/mL (reference value, <5) Alpha-fetoprotein: 5.0 ng/mL (reference value, <8.5)",Observation,Combined oral contraceptives,Endometrial biopsy,Cyst aspiration,Exploratory laparotomy,,,,,,,,,,,,,,
166,KR-KR,KorMedMCQA,"42세 산과력 2-0-0-2인 여자가 아랫배가 아파서 병원에 왔다. 최종월경시작일은 8주 전이었다. 혈압 90/60 mmHg, 맥박 110회/분, 호흡 24회/분, 체온 37℃이다. 얼굴은 창백하고 배는 팽만되어 있다. 골반초음파검사에서 자궁내막은 정상이고, 왼쪽 자궁부속기에 5×4 cm 혼합에코 덩이가 보이며 곧창자오목(cul-de-sac) 에 다량의 액체가 고여 있다. 검사 결과는 다음과 같다. 처치는?혈액: 혈색소 8.5g/dL, 백혈구 12,000/mm^3, 혈소판 150,000/mm^3 베타사람융모생식샘자극호르몬 8,000 mIU/mL (참고치, <5) 소변: 임신반응검사 양성",경구항생제,메토트렉세이트,복부천자,자궁긁어냄술,복강경수술,5,"A 42-year-old woman with a gravidity of 2-0-0-2 comes to the hospital with lower abdominal pain. Her last menstrual period started 8 weeks ago. Her blood pressure is 90/60 mmHg, pulse is 110 beats per minute, respiration is 24 breaths per minute, and temperature is 37°C. She appears pale and her abdomen is distended. A pelvic ultrasound shows a normal endometrium, a 5×4 cm mixed echo mass in the left adnexa, and a large amount of fluid in the cul-de-sac. The test results are as follows. What is the treatment? Blood: Hemoglobin 8.5 g/dL, white blood cells 12,000/mm^3, platelets 150,000/mm^3, beta-human chorionic gonadotropin 8,000 mIU/mL (reference value, <5) Urine: Pregnancy test positive",Oral antibiotics,Methotrexate,Abdominal paracentesis,Dilation and curettage,Laparoscopic surgery,,,,,,,,,,,,,,
167,KR-KR,KorMedMCQA,"58세 남자가 건강검진에서 혈압이 높게 나왔다며 병원에 왔다. 30갑 ∙ 년의 흡연자이다. 허리둘레 108 cm이다. 혈압 136/84 mmHg, 맥박 76회/분, 호흡 16회/분, 체온 36.9℃이다. 혈액검사 결과는 다음과 같다. 치료는?총콜레스테롤 243 mg/dL, 중성지방 221 mg/dL, 고밀도지단백콜레스테롤 38 mg/dL, 저밀도지단백콜레스테롤 172 mg/dL, 공복 혈당 122 mg/dL,",스타틴,아스피린,에제티미브,피브레이트,오메가- 3 지방산,1,"A 58-year-old man came to the hospital because his blood pressure was high during a health check-up. He has a smoking history of 30 pack-years. His waist circumference is 108 cm. His blood pressure is 136/84 mmHg, pulse is 76 beats per minute, respiration is 16 breaths per minute, and temperature is 36.9°C. The blood test results are as follows. What is the treatment? Total cholesterol 243 mg/dL, triglycerides 221 mg/dL, high-density lipoprotein cholesterol 38 mg/dL, low-density lipoprotein cholesterol 172 mg/dL, fasting blood glucose 122 mg/dL.",Statin,Aspirin,Ezetimibe,Fibrate,Omega-3 fatty acids,,,,,,,,,,,,,,
168,KR-KR,KorMedMCQA,"57세 여자가 갑자기 다리를 못 움직인다고 응급실에 왔다. 층간 소음 문제로 윗집과 서로 욕설까지 하면서 크게 다투던 도중 갑자기 다리가 마비되었다고 한다. 2년 전 남편과 말다툼을 한 뒤에도 다리가 마비되었지만, 별다른 치료 없이 다음 날 나아졌다고 한다. 현재 치료를 받고 있는 다른 질병은 없다. 신경학적 진찰 결과 정상이다. 혈액검사, 뇌파, 뇌 컴퓨터단층촬영에서 이상 소견은 없다. 조치는?",항경련제 투약,이차 이득 최대화,항정신병약물 투약,공감적 태도와 암시,모든 증상이 심리적이라고 직면시킴,4,"A 57-year-old woman came to the emergency room because she suddenly couldn't move her legs. She was having a big argument with the upstairs neighbor over noise issues, exchanging insults, when her legs suddenly became paralyzed. She also experienced leg paralysis two years ago after an argument with her husband, but it improved the next day without any specific treatment. She is not currently receiving treatment for any other diseases. Neurological examination results are normal. Blood tests, EEG, and brain CT show no abnormal findings. What is the management?",Administer anticonvulsants,Maximize secondary gain,Administer antipsychotic medication,Empathic attitude and suggestion,Confront the patient with the fact that all symptoms are psychological.,,,,,,,,,,,,,,
169,KR-KR,KorMedMCQA,"14세 여아가 목 중앙에서 왼쪽으로 1 cm 떨어진 부위에 덩이가 만져져서 병원에 왔다. 최근 목소리가 쉬고 음식을 삼킬 때 불편감이 있다. 덩이는 크기 2×2 cm 크기로 단단하게 만져지고 압통은 없다. 왼쪽 목빗근부위에서 1.5 cm 크기의 림프절이 5개 만져진다. 혈압 110/60 mmHg, 맥박 80회/분, 호흡 20회/분이다. 검사 결과는 다음과 같다. 검사는?T3 132 ng/dL (참고치, 77～135) 유리 T4 1.4 ng/dL (참고치, 0.8～1.7) 갑상샘자극호르몬 1.5 mIU/L (참고치, 0.34～4.25)",99mTc-갑상샘스캔,목 컴퓨터단층촬영,혈청 갑상샘글로불린,혈청 갑상샘과산화효소항체,덩이 가는바늘흡인세포검사,5,"A 14-year-old girl came to the hospital with a lump felt 1 cm to the left of the center of her neck. Recently, she has experienced hoarseness and discomfort when swallowing food. The lump is 2×2 cm in size, feels hard, and is not tender. Five lymph nodes, each 1.5 cm in size, are palpable in the left sternocleidomastoid area. Her blood pressure is 110/60 mmHg, pulse is 80 beats per minute, and respiration is 20 breaths per minute. The test results are as follows: T3 132 ng/dL (reference range, 77–135), free T4 1.4 ng/dL (reference range, 0.8–1.7), thyroid-stimulating hormone 1.5 mIU/L (reference range, 0.34–4.25). What is the next test?",99mTc-thyroid scan,Neck computed tomography (CT),Serum thyroglobulin,Serum thyroid peroxidase antibody,Fine needle aspiration cytology of the mass,,,,,,,,,,,,,,
170,KR-KR,KorMedMCQA,"임신 15주인 38세 미분만부가 유전상담을 위해 병원에 왔다. 3주 전 초음파검사에서 태아는 12주 크기, 목덜미투명대는 5.0 mm[결정점(cuf-off) : 3.0 mm]였다. 산모는 유전질환과 관련된 이상은 없다. 융모막융모생검과 염색체검사 결과는 다음과 같다. 처치는?융모막융모생검: 46, XY, inv(9) (p11q12) 산모: 46, XX, inv(9) (p11q12) 배우자: 46, XY",경과관찰,세포유리 태아DNA 검사,양수천자,경피제대혈액채취,치료적유산,1,"A 38-year-old nulliparous woman at 15 weeks of pregnancy came to the hospital for genetic counseling. Three weeks ago, an ultrasound showed the fetus was the size of a 12-week-old, with a nuchal translucency of 5.0 mm [cut-off: 3.0 mm]. The mother has no abnormalities related to genetic disorders. The results of the chorionic villus sampling and chromosome test are as follows. What is the management? Chorionic villus sampling: 46, XY, inv(9) (p11q12) Mother: 46, XX, inv(9) (p11q12) Spouse: 46, XY",Observation,Cell-free fetal DNA testing,Amniocentesis,Percutaneous umbilical blood sampling,Therapeutic abortion,,,,,,,,,,,,,,
171,KR-KR,KorMedMCQA,"임신 39주인 27세 다분만부가 규칙적으로 아랫배가 아파서 병원에 왔다. 혈압 110/70 mmHg, 맥박 75회/분, 호흡 20회/분, 체온 36.5℃이다. 골반검사에서 자궁목 1 cm 확장, 50% 소실, 하강도 -3이다. 전자태아심박동-자궁수축감시검사에서 태아심박동은 정상이고, 진통은 4분 간격으로 있으나 15시간 동안 자궁목과 하강도의 변화가 없다. 진단은?",하강지연,잠복기지연,자궁목확장지연,고장성자궁기능부전,태아머리골반불균형,2,"A 27-year-old multiparous woman at 39 weeks of gestation comes to the hospital with regular lower abdominal pain. Her blood pressure is 110/70 mmHg, pulse is 75 beats per minute, respiration is 20 breaths per minute, and temperature is 36.5°C. Pelvic examination shows cervical dilation of 1 cm, effacement of 50%, and station of -3. On electronic fetal heart rate and uterine contraction monitoring, the fetal heart rate is normal, and contractions occur at 4-minute intervals, but there has been no change in cervical dilation or station for 15 hours. What is the diagnosis?",Arrest of descent,Prolonged latent phase,Cervical dilation delay,Hypertonic uterine dysfunction,Cephalopelvic disproportion,,,,,,,,,,,,,,
172,KR-KR,KorMedMCQA,70세 남자가 2개월 전부터 기억력이 떨어졌다고 병원에 왔다. 우울하고 의욕이 없으며 식욕도 떨어져 체중이 5 kg 줄었다. 밤에 잠도 잘 오지 않는다고 한다. 1년 전에도 기억력이 떨어지고 잠을 잘 못 자서 병원에 왔으며 그 당시 간이정신상태검사는 29점이었다. 2년 전부터 파킨슨병으로 치료를 받고 있다. 오늘 시행한 간이정신상태검사는 27점이다. 치료는?,날트렉손,발프로산,플루옥세틴,할로페리돌,리바스티그민,3,"A 70-year-old man came to the hospital because his memory has been declining for 2 months. He is depressed, lacks motivation, and has a decreased appetite, resulting in a weight loss of 5 kg. He also reports difficulty sleeping at night. A year ago, he visited the hospital for memory decline and sleep problems, and at that time, his Mini-Mental State Examination (MMSE) score was 29. He has been receiving treatment for Parkinson's disease for 2 years. Today's MMSE score is 27. What is the treatment?",Naltrexone,Valproic acid,Fluoxetine,Haloperidol,Rivastigmine,,,,,,,,,,,,,,
173,KR-KR,KorMedMCQA,"67세 여자가 2개월 전부터 계단을 오를 때 숨이 차고 어지러워 병원에 왔다. 3개월 동안 체중이 5 kg 감소하였고, 오른쪽 아랫배에 덩이가 만져진다고 한다. 혈압 110/80 mmHg, 맥박 85회/분, 호흡 20회/분, 체온 36.8℃이다. 결막은 창백하고, 오른쪽 아랫배에 어른 주먹만 한 덩이가 만져지나, 압통은 없다. 혈액검사 결과는 다음과 같다. 진단은?혈색소 6.9 g/dL, 백혈구 8,700/mm^3, 혈소판 250,000/mm^3 총빌리루빈 0.7 mg/dL, 아스파르테이트아미노전달효소 26 U/L 알라닌아미노전달효소 34 U/L",자궁근종,온쓸개관낭,팽대부주위암,오름잘록창자암,막창자꼬리주위고름집,4,"A 67-year-old woman came to the hospital because she has been experiencing shortness of breath and dizziness when climbing stairs for the past 2 months. She has lost 5 kg of weight over the past 3 months and reports feeling a mass in her right lower abdomen. Her blood pressure is 110/80 mmHg, pulse is 85 beats per minute, respiratory rate is 20 breaths per minute, and temperature is 36.8°C. Her conjunctiva is pale, and a mass the size of an adult's fist is palpable in the right lower abdomen, but it is not tender. The results of her blood tests are as follows: Hemoglobin 6.9 g/dL, White blood cells 8,700/mm^3, Platelets 250,000/mm^3, Total bilirubin 0.7 mg/dL, Aspartate aminotransferase 26 U/L, Alanine aminotransferase 34 U/L. What is the diagnosis?",Uterine fibroid,Choledochal cyst,Periampullary cancer,Ascending colon cancer,Periappendiceal abscess,,,,,,,,,,,,,,
174,KR-KR,KorMedMCQA,38세 남자가 사는 게 허무하다며 병원에 왔다. 6개월 전 말기 위암으로 진단받은 후 보존적 항암치료 중이다. 암에 걸린 이후 어렵게 입사한 회사에서 휴직을 해야 했고 치료비도 너무 많이 나와 더 이상 견디기가 어렵다고 한다. 그 누구도 자신의 고통을 이해하거나 도울 수 없을 것이라며 눈물을 흘리며 슬퍼한다. 임종 심리단계는?,부정,분노,수용,우울,타협,4,"A 38-year-old man came to the hospital saying that life feels meaningless. He was diagnosed with terminal stomach cancer 6 months ago and is currently undergoing palliative chemotherapy. After being diagnosed with cancer, he had to take a leave of absence from the company he had a hard time joining, and the treatment costs have become too burdensome to bear. He cries and expresses sadness, saying that no one can understand or help with his suffering. What is the stage of psychological response to impending death?",Denial,Anger,Acceptance,Depression,Bargaining,,,,,,,,,,,,,,
